name,datetime,tempmax,tempmin,temp,feelslikemax,feelslikemin,feelslike,dew,humidity,precip,precipprob,precipcover,preciptype,snow,snowdepth,windgust,windspeed,winddir,sealevelpressure,cloudcover,visibility,solarradiation,solarenergy,uvindex,severerisk,sunrise,sunset,moonphase,conditions,description,icon,stations,distance_cm,level_pct,ts
"15.5645,-88.0286",2023-09-01,33.6,24.0,28.1,42.1,24.0,32.2,24.6,82.1,1.748,100,8.33,rain,0,0,48.2,30.5,50.9,1012.1,66.1,10.3,217.2,18.8,8,75,2023-09-01T05:39:24,2023-09-01T18:04:45,0.56,"Rain, Partially cloudy",Partly cloudy throughout the day with late afternoon rain.,rain,"78706099999,78708099999,MHLM,MGPB,MHTE,78637099999,C6VG7",7.57,31.2,0
"15.5645,-88.0286",2023-09-02,32.9,23.0,27.7,39.4,23.0,30.6,23.5,79.3,0.0,0,0.0,,0,0,31.0,23.7,29.3,1012.6,42.7,10.1,250.6,21.6,8,60,2023-09-02T05:39:30,2023-09-02T18:04:01,0.59,Partially cloudy,Partly cloudy throughout the day.,partly-cloudy-day,"78706099999,78708099999,MHLM,MGPB,MHTE,78637099999,C6VG7",4.29,61.0,1000
"15.5645,-88.0286",2023-09-03,31.7,23.8,26.8,38.8,23.8,29.2,24.0,85.0,11.935,100,8.33,rain,0,0,33.5,23.9,46.1,1012.4,76.5,9.6,238.3,20.7,8,60,2023-09-03T05:39:35,2023-09-03T18:03:16,0.62,"Rain, Partially cloudy",Partly cloudy throughout the day with late afternoon rain.,rain,"78706099999,78708099999,MHLM,MGPB,MHTE,78637099999,C6VG7",3.81,65.4,2000
"15.5645,-88.0286",2023-09-04,33.7,23.9,27.8,39.3,23.9,30.7,23.8,80.8,0.1,100,4.17,rain,0,0,29.2,24.1,31.4,1011.4,48.3,10.2,248.7,21.4,9,60,2023-09-04T05:39:41,2023-09-04T18:02:31,0.66,"Rain, Partially cloudy",Partly cloudy throughout the day with early morning rain.,rain,"78706099999,78708099999,MHLM,MGPB,MHTE,78637099999,C6VG7",6.41,41.7,3000
"15.5645,-88.0286",2023-09-05,34.8,23.2,27.8,42.0,23.2,30.2,23.8,80.7,0.2,100,4.17,rain,0,0,32.4,31.4,42.9,1011.3,54.8,10.1,270.1,23.4,9,60,2023-09-05T05:39:46,2023-09-05T18:01:46,0.69,"Rain, Partially cloudy",Becoming cloudy in the afternoon with late afternoon rain.,rain,"78706099999,78708099999,MHLM,MGPB,MHTE,78637099999,C6VG7",7.76,29.5,4000
"15.5645,-88.0286",2023-09-06,33.8,24.0,28.6,41.8,24.0,32.4,24.3,79.1,7.768,100,8.33,rain,0,0,31.0,24.1,39.4,1011.6,39.5,10.1,257.6,22.2,9,60,2023-09-06T05:39:51,2023-09-06T18:01:00,0.75,"Rain, Partially cloudy",Partly cloudy throughout the day with rain clearing later.,rain,"78706099999,78708099999,MHLM,MGPB,MHTE,V7QK9,78637099999,C6VG7",5.38,51.1,5000
"15.5645,-88.0286",2023-09-07,33.9,24.6,28.8,40.7,24.6,32.4,24.6,79.5,0.2,100,4.17,rain,0,0,46.4,25.9,27.1,1011.0,52.9,9.8,244.9,21.1,8,75,2023-09-07T05:39:56,2023-09-07T18:00:15,0.76,"Rain, Partially cloudy",Partly cloudy throughout the day with morning rain.,rain,"78706099999,78708099999,MHLM,MGPB,V7QK9,MHTE,78637099999",9.85,10.5,6000
"15.5645,-88.0286",2023-09-08,34.6,23.3,27.4,41.7,23.3,30.0,23.6,81.4,23.915,100,12.5,rain,0,0,33.1,24.2,16.2,1011.4,65.3,9.5,225.5,19.5,9,30,2023-09-08T05:40:01,2023-09-08T17:59:29,0.79,"Rain, Partially cloudy",Partly cloudy throughout the day with rain.,rain,"78706099999,78708099999,MHLM,MGPB,MHTE,V7QK9,78637099999",7.48,32.0,7000
"15.5645,-88.0286",2023-09-09,32.8,20.0,27.3,40.3,20.0,30.1,23.6,81.2,0.935,100,4.17,rain,0,0,31.3,23.2,47.2,1011.5,49.8,10.0,223.6,19.4,8,60,2023-09-09T05:40:06,2023-09-09T17:58:42,0.82,"Rain, Partially cloudy",Clearing in the afternoon with morning rain.,rain,"78706099999,78708099999,MHLM,MGPB,MHTE,78637099999,C6VG7",5.85,46.8,8000
"15.5645,-88.0286",2023-09-10,32.6,25.0,27.9,39.0,25.0,30.9,24.4,82.0,0.026,100,4.17,rain,0,0,44.6,23.0,25.7,1012.4,46.6,10.3,233.0,20.2,8,60,2023-09-10T05:40:11,2023-09-10T17:57:56,0.86,"Rain, Partially cloudy",Partly cloudy throughout the day with morning rain.,rain,"78706099999,78708099999,MHLM,MGPB,MHTE,78637099999,C6VG7",5.14,53.3,9000
